county,office,district,party,candidate,votes,winner,write-in,notes
Apache,President,,DEM,Al Gore,13025,,,
Cochise,President,,DEM,Al Gore,13360,,,
Coconino,President,,DEM,Al Gore,20280,,,
Gila,President,,DEM,Al Gore,7700,,,
Graham,President,,DEM,Al Gore,3355,,,
Greenlee,President,,DEM,Al Gore,1216,,,
La Paz,President,,DEM,Al Gore,1769,,,
Maricopa,President,,DEM,Al Gore,386683,,,
Mohave,President,,DEM,Al Gore,17470,,,
Navajo,President,,DEM,Al Gore,11794,,,
Pima,President,,DEM,Al Gore,147688,,,
Pinal,President,,DEM,Al Gore,19650,,,
Santa Cruz,President,,DEM,Al Gore,5233,,,
Yavapai,President,,DEM,Al Gore,24063,,,
Yuma,President,,DEM,Al Gore,12055,,,
,President,,DEM,Al Gore,685341,,,
Apache,President,,GRN,Ralph Nader,245,,,
Cochise,President,,GRN,Ralph Nader,1113,,,
Coconino,President,,GRN,Ralph Nader,2478,,,
Gila,President,,GRN,Ralph Nader,497,,,
Graham,President,,GRN,Ralph Nader,144,,,
Greenlee,President,,GRN,Ralph Nader,68,,,
La Paz,President,,GRN,Ralph Nader,91,,,
Maricopa,President,,GRN,Ralph Nader,22465,,,
Mohave,President,,GRN,Ralph Nader,1323,,,
Navajo,President,,GRN,Ralph Nader,517,,,
Pima,President,,GRN,Ralph Nader,12355,,,
Pinal,President,,GRN,Ralph Nader,904,,,
Santa Cruz,President,,GRN,Ralph Nader,217,,,
Yavapai,President,,GRN,Ralph Nader,2733,,,
Yuma,President,,GRN,Ralph Nader,495,,,
,President,,GRN,Ralph Nader,45645,,,
Apache,President,,LBT,L. Neil Smith,66,,,
Cochise,President,,LBT,L. Neil Smith,199,,,
Coconino,President,,LBT,L. Neil Smith,252,,,
Gila,President,,LBT,L. Neil Smith,129,,,
Graham,President,,LBT,L. Neil Smith,20,,,
Greenlee,President,,LBT,L. Neil Smith,12,,,
La Paz,President,,LBT,L. Neil Smith,24,,,
Maricopa,President,,LBT,L. Neil Smith,2985,,,
Mohave,President,,LBT,L. Neil Smith,291,,,
Navajo,President,,LBT,L. Neil Smith,156,,,
Pima,President,,LBT,L. Neil Smith,1046,,,
Pinal,President,,LBT,L. Neil Smith,136,,,
Santa Cruz,President,,LBT,L. Neil Smith,41,,,
Yavapai,President,,LBT,L. Neil Smith,261,,,
Yuma,President,,LBT,L. Neil Smith,157,,,
,President,,LBT,L. Neil Smith,5775,,,
Apache,President,,NL,John Hagelin,15,,,
Cochise,President,,NL,John Hagelin,34,,,
Coconino,President,,NL,John Hagelin,66,,,
Gila,President,,NL,John Hagelin,25,,,
Graham,President,,NL,John Hagelin,7,,,
Greenlee,President,,NL,John Hagelin,3,,,
La Paz,President,,NL,John Hagelin,3,,,
Maricopa,President,,NL,John Hagelin,494,,,
Mohave,President,,NL,John Hagelin,44,,,
Navajo,President,,NL,John Hagelin,28,,,
Pima,President,,NL,John Hagelin,205,,,
Pinal,President,,NL,John Hagelin,36,,,
Santa Cruz,President,,NL,John Hagelin,14,,,
Yavapai,President,,NL,John Hagelin,125,,,
Yuma,President,,NL,John Hagelin,21,,,
,President,,NL,John Hagelin,1120,,,
Apache,President,,REF,Patrick Buchanan,135,,,
Cochise,President,,REF,Patrick Buchanan,315,,,
Coconino,President,,REF,Patrick Buchanan,244,,,
Gila,President,,REF,Patrick Buchanan,227,,,
Graham,President,,REF,Patrick Buchanan,131,,,
Greenlee,President,,REF,Patrick Buchanan,42,,,
La Paz,President,,REF,Patrick Buchanan,53,,,
Maricopa,President,,REF,Patrick Buchanan,7156,,,
Mohave,President,,REF,Patrick Buchanan,622,,,
Navajo,President,,REF,Patrick Buchanan,266,,,
