county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. House,1,DEM,George Cordova,13031,,,
Coconino,U.S. House,1,DEM,George Cordova,19002,,,
Gila,U.S. House,1,DEM,George Cordova,5790,,,
Graham,U.S. House,1,DEM,George Cordova,2885,,,
Greenlee,U.S. House,1,DEM,George Cordova,994,,,
Navajo,U.S. House,1,DEM,George Cordova,10977,,,
Pinal,U.S. House,1,DEM,George Cordova,8656,,,
Yavapai,U.S. House,1,DEM,George Cordova,18395,,,
,U.S. House,1,DEM,George Cordova,79730,,,
Apache,U.S. House,1,LBT,Edwin Porr,354,,,
Coconino,U.S. House,1,LBT,Edwin Porr,1832,,,
Gila,U.S. House,1,LBT,Edwin Porr,912,,,
Graham,U.S. House,1,LBT,Edwin Porr,272,,,
Greenlee,U.S. House,1,LBT,Edwin Porr,94,,,
Navajo,U.S. House,1,LBT,Edwin Porr,948,,,
Pinal,U.S. House,1,LBT,Edwin Porr,1048,,,
Yavapai,U.S. House,1,LBT,Edwin Porr,3530,,,
,U.S. House,1,LBT,Edwin Porr,8990,,,
Apache,U.S. House,1,REP,Rick Renzi,4515,,,
Coconino,U.S. House,1,REP,Rick Renzi,13048,,,
Gila,U.S. House,1,REP,Rick Renzi,8384,,,
Graham,U.S. House,1,REP,Rick Renzi,4724,,,
Greenlee,U.S. House,1,REP,Rick Renzi,1043,,,
Navajo,U.S. House,1,REP,Rick Renzi,10754,,,
Pinal,U.S. House,1,REP,Rick Renzi,9491,,,
Yavapai,U.S. House,1,REP,Rick Renzi,34008,,,
,U.S. House,1,REP,Rick Renzi,85967,True,,
Coconino,U.S. House,2,DEM,Randy Camacho,173,,,
La Paz,U.S. House,2,DEM,Randy Camacho,2,,,
Maricopa,U.S. House,2,DEM,Randy Camacho,49334,,,
Mohave,U.S. House,2,DEM,Randy Camacho,11320,,,
Navajo,U.S. House,2,DEM,Randy Camacho,388,,,
Yavapai,U.S. House,2,DEM,Randy Camacho,0,,,
,U.S. House,2,DEM,Randy Camacho,61217,,,
Coconino,U.S. House,2,LBT,Edward Carlson,10,,,
La Paz,U.S. House,2,LBT,Edward Carlson,1,,,
Maricopa,U.S. House,2,LBT,Edward Carlson,4151,,,
Mohave,U.S. House,2,LBT,Edward Carlson,1740,,,
Navajo,U.S. House,2,LBT,Edward Carlson,17,,,
