county,office,district,party,candidate,votes,winner,write-in,notes
Apache,President,,DEM,John F. Kerry,15658,,,
Cochise,President,,DEM,John F. Kerry,17514,,,
Coconino,President,,DEM,John F. Kerry,29243,,,
Gila,President,,DEM,John F. Kerry,8314,,,
Graham,President,,DEM,John F. Kerry,3185,,,
Greenlee,President,,DEM,John F. Kerry,1146,,,
La Paz,President,,DEM,John F. Kerry,1849,,,
Maricopa,President,,DEM,John F. Kerry,504849,,,
Mohave,President,,DEM,John F. Kerry,20503,,,
Navajo,President,,DEM,John F. Kerry,14815,,,
Pima,President,,DEM,John F. Kerry,193128,,,
Pinal,President,,DEM,John F. Kerry,27252,,,
Santa Cruz,President,,DEM,John F. Kerry,6909,,,
Yavapai,President,,DEM,John F. Kerry,33127,,,
Yuma,President,,DEM,John F. Kerry,16032,,,
,President,,DEM,John F. Kerry,893524,,,
Apache,President,,LBT,Michael Badnarik,142,,,
Cochise,President,,LBT,Michael Badnarik,318,,,
Coconino,President,,LBT,Michael Badnarik,377,,,
Gila,President,,LBT,Michael Badnarik,155,,,
Graham,President,,LBT,Michael Badnarik,66,,,
Greenlee,President,,LBT,Michael Badnarik,19,,,
La Paz,President,,LBT,Michael Badnarik,45,,,
Maricopa,President,,LBT,Michael Badnarik,6776,,,
Mohave,President,,LBT,Michael Badnarik,393,,,
Navajo,President,,LBT,Michael Badnarik,224,,,
Pima,President,,LBT,Michael Badnarik,2109,,,
Pinal,President,,LBT,Michael Badnarik,333,,,
Santa Cruz,President,,LBT,Michael Badnarik,80,,,
Yavapai,President,,LBT,Michael Badnarik,612,,,
Yuma,President,,LBT,Michael Badnarik,207,,,
,President,,LBT,Michael Badnarik,11856,,,
Apache,President,,REP,George W. Bush,8384,,,
Cochise,President,,REP,George W. Bush,26556,,,
Coconino,President,,REP,George W. Bush,22526,,,
Gila,President,,REP,George W. Bush,12343,,,
Graham,President,,REP,George W. Bush,7467,,,
Greenlee,President,,REP,George W. Bush,1899,,,
La Paz,President,,REP,George W. Bush,3158,,,
Maricopa,President,,REP,George W. Bush,679455,,,
Mohave,President,,REP,George W. Bush,36794,,,
Navajo,President,,REP,George W. Bush,17277,,,
Pima,President,,REP,George W. Bush,171109,,,
Pinal,President,,REP,George W. Bush,37006,,,
Santa Cruz,President,,REP,George W. Bush,4668,,,
Yavapai,President,,REP,George W. Bush,53468,,,
Yuma,President,,REP,George W. Bush,22184,,,
,President,,REP,George W. Bush,1104294,True,,
Apache,President,,Write-In,David Cobb,0,,True,
Cochise,President,,Write-In,David Cobb,12,,True,
Coconino,President,,Write-In,David Cobb,8,,True,
Gila,President,,Write-In,David Cobb,0,,True,
Graham,President,,Write-In,David Cobb,0,,True,
Greenlee,President,,Write-In,David Cobb,0,,True,
La Paz,President,,Write-In,David Cobb,0,,True,
Maricopa,President,,Write-In,David Cobb,64,,True,
Mohave,President,,Write-In,David Cobb,4,,True,
Navajo,President,,Write-In,David Cobb,1,,True,
Pima,President,,Write-In,David Cobb,39,,True,
Pinal,President,,Write-In,David Cobb,0,,True,
Santa Cruz,President,,Write-In,David Cobb,1,,True,
Yavapai,President,,Write-In,David Cobb,9,,True,
Yuma,President,,Write-In,David Cobb,0,,True,
,President,,Write-In,David Cobb,138,,True,
Apache,President,,Write-In,Ralph Nader,14,,True,
Cochise,President,,Write-In,Ralph Nader,83,,True,
Coconino,President,,Write-In,Ralph Nader,113,,True,
Gila,President,,Write-In,Ralph Nader,31,,True,
Graham,President,,Write-In,Ralph Nader,2,,True,
Greenlee,President,,Write-In,Ralph Nader,3,,True,
La Paz,President,,Write-In,Ralph Nader,3,,True,
Maricopa,President,,Write-In,Ralph Nader,1607,,True,
Mohave,President,,Write-In,Ralph Nader,113,,True,
Navajo,President,,Write-In,Ralph Nader,26,,True,
Pima,President,,Write-In,Ralph Nader,522,,True,
Pinal,President,,Write-In,Ralph Nader,31,,True,
Santa Cruz,President,,Write-In,Ralph Nader,10,,True,
Yavapai,President,,Write-In,Ralph Nader,173,,True,
Yuma,President,,Write-In,Ralph Nader,42,,True,
,President,,Write-In,Ralph Nader,2773,,True,
Apache,U.S. Senate,,DEM,Stuart Starky,9588,,,
